idx,true_label,pr_score,pr_prediction,pr_correct,pr_all_predictions,ng_score,ng_prediction,ng_correct,ng_all_predictions,co_score,co_prediction,co_correct,co_all_predictions
44,3,1.0,3,True,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]"
45,5,1.0,5,True,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1.0,5,True,"[5, 5, 5, 5, 5]",1.0,5,True,"[5, 5, 5, 5, 5]"
46,1,1.0,1,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1,True,"[1, 1, 1, 1, 1]",0.6,1,True,"[1, 8, 1, 6, 1]"
47,2,1.0,2,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]"
48,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]"
49,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]"
50,6,1.0,6,True,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]"
51,3,1.0,3,True,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]"
52,5,1.0,5,True,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1.0,5,True,"[5, 5, 5, 5, 5]",1.0,5,True,"[5, 5, 5, 5, 5]"
53,5,1.0,5,True,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1.0,5,True,"[5, 5, 5, 5, 5]",1.0,5,True,"[5, 5, 5, 5, 5]"
54,6,1.0,6,True,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]"
55,0,1.0,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,0,True,"[0, 0, 0, 0, 0]",1.0,0,True,"[0, 0, 0, 0, 0]"
56,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]"
57,1,0.8,1,True,"[1, 1, 1, 1, 1, 8, 1, 1, 5, 1]",1.0,1,True,"[1, 1, 1, 1, 1]",0.6,1,True,"[1, 8, 1, 6, 1]"
58,9,1.0,9,True,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",1.0,9,True,"[9, 9, 9, 9, 9]",1.0,9,True,"[9, 9, 9, 9, 9]"
59,5,1.0,5,True,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1.0,5,True,"[5, 5, 5, 5, 5]",1.0,5,True,"[5, 5, 5, 5, 5]"
60,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",0.8,7,True,"[7, 7, 6, 7, 7]"
61,8,1.0,8,True,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1.0,8,True,"[8, 8, 8, 8, 8]",1.0,8,True,"[8, 8, 8, 8, 8]"
62,9,0.7,4,False,"[4, 4, 4, 4, 4, 9, 9, 4, 9, 4]",0.6,4,False,"[9, 4, 6, 4, 4]",0.8,4,False,"[4, 4, 4, 6, 4]"
63,3,1.0,3,True,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]"
64,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",0.6,7,True,"[7, 7, 3, 7, 3]"
65,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]"
66,6,0.9,6,True,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 0]",1.0,6,True,"[6, 6, 6, 6, 6]",0.8,6,True,"[6, 6, 6, 6, 1]"
67,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",0.8,4,True,"[4, 4, 4, 6, 4]"
68,3,1.0,3,True,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]"
69,0,0.9,0,True,"[0, 0, 0, 0, 0, 8, 0, 0, 0, 0]",0.6,0,True,"[1, 0, 0, 0, 5]",0.4,1,False,"[1, 8, 6, 6, 1]"
70,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]"
71,0,1.0,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,0,True,"[0, 0, 0, 0, 0]",0.8,0,True,"[0, 0, 6, 0, 0]"
72,2,1.0,2,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]",0.8,2,True,"[2, 2, 2, 6, 2]"
73,9,1.0,9,True,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",0.6,9,True,"[8, 8, 9, 9, 9]",0.6,1,False,"[1, 8, 1, 8, 1]"
74,1,1.0,1,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1,True,"[1, 1, 1, 1, 1]",0.8,1,True,"[1, 8, 1, 1, 1]"
75,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",0.8,7,True,"[7, 7, 1, 7, 7]"
76,3,1.0,3,True,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]"
77,2,1.0,2,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]"
78,9,1.0,4,False,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,False,"[4, 4, 4, 4, 4]",0.8,4,False,"[4, 4, 4, 6, 4]"
79,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]"
80,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",0.6,7,True,"[7, 7, 1, 7, 1]"
81,6,1.0,6,True,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]"
82,2,1.0,2,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]"
83,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]"
84,8,1.0,8,True,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",0.8,8,True,"[8, 8, 6, 8, 8]",0.8,8,True,"[8, 8, 6, 8, 8]"
85,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",0.8,4,True,"[4, 4, 4, 6, 4]"
86,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]"
87,3,1.0,3,True,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]"
88,6,1.0,6,True,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]"
89,1,0.8,1,True,"[1, 1, 1, 1, 1, 8, 1, 1, 5, 1]",0.4,1,True,"[3, 1, 5, 1, 8]",0.4,1,True,"[1, 8, 6, 6, 1]"
90,3,1.0,3,True,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]"
91,6,1.0,6,True,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]"
92,9,1.0,4,False,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",0.8,4,False,"[4, 4, 4, 9, 4]",0.8,4,False,"[4, 4, 4, 6, 4]"
93,3,1.0,3,True,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]"
94,1,0.9,1,True,"[1, 1, 1, 1, 1, 1, 1, 1, 5, 1]",1.0,1,True,"[1, 1, 1, 1, 1]",0.6,1,True,"[1, 8, 1, 6, 1]"
95,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",0.8,4,True,"[4, 4, 4, 6, 4]"
96,1,1.0,1,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1,True,"[1, 1, 1, 1, 1]",0.6,1,True,"[1, 8, 1, 6, 1]"
97,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",0.8,7,True,"[7, 7, 1, 7, 7]"
98,6,1.0,6,True,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]"
99,9,1.0,9,True,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",1.0,9,True,"[9, 9, 9, 9, 9]",0.8,9,True,"[9, 9, 6, 9, 9]"
